# Matter power spectrum P(k) at redshift z=0
# for k=9.66272e-06 to 139.669 h/Mpc,
# number of wavenumbers equal to 3581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.084174884071e-04       6.428055307800e+02 
       1.089179207961e-04       6.456603403018e+02 
       1.094206630760e-04       6.485278078558e+02 
       1.099257259089e-04       6.514079897244e+02 
       1.104331200059e-04       6.543009418100e+02 
       1.109428561277e-04       6.572067201006e+02 
       1.114549450844e-04       6.601253815140e+02 
       1.119693977364e-04       6.630569829148e+02 
       1.124862249940e-04       6.660015817101e+02 
       1.130054378178e-04       6.689592340769e+02 
       1.135270472190e-04       6.719299982988e+02 
       1.140510642599e-04       6.749139326829e+02 
       1.145775000536e-04       6.779110942894e+02 
       1.151063657644e-04       6.809215421356e+02 
       1.156376726085e-04       6.839453345930e+02 
       1.161714318536e-04       6.869825305316e+02 
       1.167076548193e-04       6.900331891928e+02 
       1.172463528779e-04       6.930973693546e+02 
       1.177875374537e-04       6.961751313074e+02 
       1.183312200240e-04       6.992665347387e+02 
       1.188774121190e-04       7.023716389823e+02 
       1.194261253222e-04       7.054905059651e+02 
       1.199773712704e-04       7.086231947568e+02 
       1.205311616543e-04       7.117697667413e+02 
       1.210875082186e-04       7.149302836425e+02 
       1.216464227618e-04       7.181048061846e+02 
       1.222079171374e-04       7.212933963951e+02 
       1.227720032533e-04       7.244961165517e+02 
       1.233386930723e-04       7.277130279519e+02 
       1.239079986128e-04       7.309441940770e+02 
       1.244799319482e-04       7.341896771041e+02 
       1.250545052079e-04       7.374495406157e+02 
       1.256317305773e-04       7.407238477075e+02 
       1.262116202980e-04       7.440126602270e+02 
       1.267941866680e-04       7.473160443623e+02 
       1.273794420422e-04       7.506340636577e+02 
       1.279673988324e-04       7.539667823827e+02 
       1.285580695079e-04       7.573142652121e+02 
       1.291514665953e-04       7.606765770120e+02 
       1.297476026793e-04       7.640537829772e+02 
       1.303464904024e-04       7.674459486007e+02 
       1.309481424656e-04       7.708531400777e+02 
       1.315525716286e-04       7.742754221253e+02 
       1.321597907098e-04       7.777128634504e+02 
       1.327698125870e-04       7.811655291557e+02 
       1.333826501972e-04       7.846334857268e+02 
       1.339983165372e-04       7.881168020011e+02 
       1.346168246640e-04       7.916155441335e+02 
       1.352381876946e-04       7.951297807730e+02 
       1.358624188067e-04       7.986595798741e+02 
       1.364895312386e-04       8.022050102698e+02 
       1.371195382900e-04       8.057661383904e+02 
       1.377524533218e-04       8.093430363886e+02 
       1.383882897567e-04       8.129357717316e+02 
       1.390270610792e-04       8.165444131524e+02 
       1.396687808361e-04       8.201690323795e+02 
       1.403134626369e-04       8.238096988737e+02 
       1.409611201537e-04       8.274664834214e+02 
       1.416117671217e-04       8.311394561156e+02 
       1.422654173397e-04       8.348286894255e+02 
       1.429220846700e-04       8.385342510273e+02 
       1.435817830390e-04       8.422562171864e+02 
       1.442445264373e-04       8.459946577660e+02 
       1.449103289201e-04       8.497496455932e+02 
       1.455792046076e-04       8.535212527763e+02 
       1.462511676850e-04       8.573095518597e+02 
       1.469262324030e-04       8.611146173219e+02 
       1.476044130781e-04       8.649365213847e+02 
       1.482857240931e-04       8.687753391933e+02 
       1.489701798968e-04       8.726311456355e+02 
       1.496577950049e-04       8.765040117788e+02 
       1.503485840002e-04       8.803940154479e+02 
       1.510425615326e-04       8.843012303890e+02 
       1.517397423197e-04       8.882257335755e+02 
       1.524401411472e-04       8.921675983982e+02 
       1.531437728687e-04       8.961269030926e+02 
       1.538506524067e-04       9.001037231914e+02 
       1.545607947524e-04       9.040981348825e+02 
       1.552742149663e-04       9.081102170447e+02 
       1.559909281782e-04       9.121400451917e+02 
       1.567109495880e-04       9.161876976012e+02 
       1.574342944656e-04       9.202532527760e+02 
       1.581609781515e-04       9.243367898075e+02 
       1.588910160569e-04       9.284383842571e+02 
       1.596244236641e-04       9.325581181661e+02 
       1.603612165271e-04       9.366960708111e+02 
